Node,Degree,ClusteringCoefficient,BetweennessCentrality,ClosenessCentrality,PageRank,EigenvectorCentrality,Eccentricity,Constraint,MeanNeighborDegree,LocalClusterSizes,LocalClusterDensities,sorensen_indices,participation_coefficient,CommunitySize,CommunityDensity,CommunityAssortativity
1,0.7005474343851513,0.41911764705882354,-0.05703562054978823,0.2613761408505405,1.0001178901694843,6.258106600545136e-06,1.043499328041011,1.0480295309987246,-1.2069135510667728,-1.1878950538699549,0.047467620656530526,0.12831739857646626,1.0788212467491745,-0.8494812208026943,0.04244558444193259,-0.13384127386633193
2,0.597674575242891,0.8888888888888888,-0.057268110676061204,0.26125776397515527,1.0000996586590112,2.2700645415396554e-06,1.043499328041011,1.100383060361952,-1.2069135510667728,-1.1878950538699549,0.047467620656530526,0.12220348287894532,1.073932851954219,-0.8494812208026943,0.04244558444193259,-0.13384127386633193
3,0.7005474343851513,0.6323529411764706,-0.057129928683842986,0.2613761408505405,1.0001132306589129,6.875723329589298e-06,1.043499328041011,1.0488971729437426,-1.2069135510667728,-1.1878950538699549,0.047467620656530526,0.1431400868667264,1.0784467455292572,-0.8494812208026943,0.04244558444193259,-0.13384127386633193
4,0.597674575242891,0.8666666666666667,-0.057258829102481174,0.26125776397515527,1.0001164284582282,2.273514693575496e-06,1.043499328041011,1.149038254604031,-1.2069135510667728,-1.1878950538699549,0.047467620656530526,0.11045907845980413,1.0740680191747558,-0.8494812208026943,0.04244558444193259,-0.13384127386633193
5,0.6437789899201138,0.3333333333333333,-0.05708519678231061,0.2613084837895554,1.0001011395831898,1.2326366667931957e-05,1.043499328041011,1.0564305573316368,-1.2069135510667728,-1.1878950538699549,0.047467620656530526,0.11966680338477052,1.0768624347561813,-0.8494812208026943,0.04244558444193259,-0.13384127386633193
6,0.529999601821279,0.9333333333333333,-0.05727252569484522,0.26119016817593793,1.000087690320335,2.2071310770908663e-06,1.043499328041011,1.1891735358242157,-1.2069135510667728,-1.1878950538699549,0.047467620656530526,0.126051144338419,1.0599408369309955,-0.8494812208026943,0.04244558444193259,-0.13384127386633193
7,0.7402723808129071,0.431578947368421,-0.04265033487897664,0.2747686445291236,1.0001315878961292,0.00026908251366343137,1.043499328041011,1.0504904290272392,-0.8290934492675718,-0.8307232518899909,0.054209359629344214,0.09011443972095526,1.0794511068276753,-0.8494812208026943,0.04244558444193259,-0.13384127386633193
8,0.5648515184641378,0.6785714285714286,-0.057250927222271146,0.2612239617026782,1.000115320119928,2.233812804886551e-06,1.043499328041011,1.1706515861340194,-1.2069135510667728,-1.1878950538699549,0.047467620656530526,0.11354073752934368,1.0696388286754284,-0.8494812208026943,0.04244558444193259,-0.13384127386633193
9,1.1197856524505825,0.39724310776942356,-0.05586163346558787,0.2620546433902265,1.000302174944904,2.3092911962853265e-05,1.043499328041011,1.0238642675104872,-1.2069135510667728,-1.1878950538699549,0.047467620656530526,0.15628458486341334,1.0815403457638038,-0.8494812208026943,0.04244558444193259,-0.13384127386633193
10,0.597674575242891,0.8222222222222223,-0.05727035052499637,0.26125776397515527,1.0000678030297676,8.004960214956053e-06,1.043499328041011,1.0629007981841208,-1.2069135510667728,-1.1878950538699549,0.047467620656530526,0.14804298619742343,1.0725778787589082,-0.8494812208026943,0.04244558444193259,-0.13384127386633193
